referencia_busca_cliente;referencia;numero;servicos.nao_faturavel;recorrencia;id_importacao_pessoa;servicos.quantidade;servicos.valor_unitario;data_primeiro_vencimento;dia_vencimento;servicos.data_inicio_servico;data_vigencia_inicial;data_vigencia_final;servicos.data_reajuste;data_proximo_reajuste;servicos.referencia;tipo_faturamento;codigo_plano_contas;servicos.codigos_vendedores;codigo_vendedor;servicos.comissoes;servicos.codigo_politica_comissao;codigo_banco_conta;codigo_forma_pagamento;indice_reajuste
1;2697;;;1;6026;1;193,54;30/05/2025;30;14/06/2017;14/06/2017;;26/03/2026;26/03/2026;4;1;133;54;54;55,00;1;1;5;0
1;2698;;;1;6586;3;111,85;30/05/2025;30;23/05/2018;23/05/2018;;15/07/2025;15/07/2025;4;1;133;48;48;55,00;1;1;5;0
1;1915;1745;;1;6589;1;416,01;31/05/2025;31;30/07/2019;30/07/2019;;17/06/2025;17/06/2025;4;1;133;48;48;55,00;1;1;5;0
1;635;897;;1;6590;1;401,78;15/05/2025;15;01/08/2019;01/08/2019;;17/06/2025;17/06/2025;4;1;133;48;48;55,00;1;1;5;0
1;1923;1820;;1;8040;1;594,28;01/05/2025;1;01/10/2019;01/10/2019;;26/03/2026;26/03/2026;4;1;133;54;54;55,00;1;1;5;0
1;1925;1822;;1;6024;1;245,90;01/05/2025;1;01/10/2019;01/10/2019;;26/03/2026;26/03/2026;4;1;133;54;54;55,00;1;1;5;0
1;2701;;;1;8088;4;87,12;30/05/2025;30;16/12/2019;16/12/2019;;17/06/2025;17/06/2025;4;1;133;48;48;55,00;1;1;5;0
1;2246;;;1;5880;1;327,88;25/05/2025;25;01/09/2020;01/09/2020;;26/03/2026;26/03/2026;4;1;133;13;13;0,00;1;1;5;0
1;2699;;;1;8696;1;369,00;30/05/2025;30;19/11/2020;19/11/2020;;17/06/2025;17/06/2025;4;1;133;48;48;55,00;1;1;5;0
1;1978;2097;;1;8157;1;366,99;28/05/2025;28;01/05/2021;01/05/2021;;17/06/2025;17/06/2025;4;1;133;48;48;55,00;1;1;5;0
1;2767;;;1;9167;1;389,92;10/05/2025;10;01/05/2021;01/05/2021;;17/06/2025;17/06/2025;4;1;133;48;48;55,00;1;1;5;0
1;3577;;;1;5005;1;228,69;04/05/2025;4;01/07/2022;01/07/2022;;15/07/2025;15/07/2025;4;1;133;56;56;55,00;1;1;5;0
1;3609;;true;1;10339;1;140,00;03/05/2025;3;01/08/2022;01/08/2022;;;;119;1;133;3;3;55,00;1;1;5;0
1;1908;1732;;1;6583;1;401,78;28/05/2025;28;28/08/2022;28/08/2022;;17/06/2025;17/06/2025;4;1;133;48;48;55,00;1;1;5;0
1;1908;1732;;1;6583;2;41,23;28/05/2025;28;28/08/2022;28/08/2022;;20/08/2025;20/08/2025;95;1;133;48;48;55,00;1;1;5;0
1;2698;;;1;6586;2;42,61;30/05/2025;30;01/12/2022;01/12/2022;;15/01/2026;15/01/2026;95;1;133;48;48;55,00;1;1;5;0
1;1908;1732;true;1;6583;1;0,01;28/05/2025;28;14/02/2023;14/02/2023;;26/03/2026;26/03/2026;127;1;133;48;48;0,00;1;1;5;0
1;2767;;true;1;9167;2;0,01;10/05/2025;10;27/06/2023;27/06/2023;;;;126;1;133;48;48;0,00;1;1;5;0
1;4315;;true;1;11283;2;160,00;20/05/2025;20;20/08/2023;20/08/2023;;;;4;1;133;48;48;55,00;1;1;5;0
1;4315;;true;1;11283;2;50,00;20/05/2025;20;20/08/2023;20/08/2023;;;;95;1;133;48;48;55,00;1;1;5;0
1;4368;;true;1;11347;1;0,01;25/05/2025;25;01/09/2023;01/09/2023;;;;127;1;133;48;48;0,00;1;1;5;0
1;4368;;;1;11347;2;160,02;25/05/2025;25;25/11/2023;25/11/2023;;18/11/2025;18/11/2025;4;1;133;48;48;55,00;1;1;5;0
1;4931;;;1;11829;2;160,00;05/05/2025;5;05/04/2024;05/04/2024;;;;4;1;133;48;48;55,00;1;1;5;0
1;635;897;;1;6590;2;50,00;15/05/2025;15;15/10/2024;15/10/2024;;;;95;1;133;48;48;55,00;1;1;5;0
1;1978;2097;;1;8157;1;50,00;28/05/2025;28;28/12/2024;28/12/2024;;;;124;1;133;48;48;55,00;1;1;5;0
1;5526;;;1;12455;2;175,00;06/05/2025;6;06/03/2025;06/03/2025;;;;4;1;133;48;48;55,00;1;1;5;0
1;5526;;;1;12455;3;50,00;06/05/2025;6;06/03/2025;06/03/2025;;;;95;1;133;48;48;55,00;1;1;5;0
1;5578;;;1;12505;4;67,97;10/05/2025;10;10/03/2025;10/03/2025;;;;4;1;133;54;54;55,00;1;1;5;0
1;5578;;;1;12505;6;43,85;10/05/2025;10;10/03/2025;10/03/2025;;;;95;1;133;54;54;55,00;1;1;5;0
1;5578;;;1;12505;3;62,50;10/05/2025;10;10/03/2025;10/03/2025;;;;31;1;133;54;54;55,00;1;1;5;0
