cnpj_cpf_cliente;referencia;referencia_busca_cliente;data_primeiro_vencimento;dia_vencimento;descricao;numero;codigo_vendedor;data_vigencia_inicial;data_vigencia_final;situacao;recorrencia;tipo_faturamento;indice_reajuste;codigo_banco_conta;codigo_forma_pagamento;codigo_plano_contas;codigo_condicao_pagamento;observacao_fiscal;observacao_nao_fiscal;data_proximo_reajuste;servicos.referencia;servicos.quantidade;servicos.valor_unitario;servicos.complemento;tipo_desconto_boleto_ate_vencimento;valor_desconto_boleto_ate_vencimento;id_importacao_pessoa;Mensagem;Id
;1034;1;03/05/2025;3;;2042;10;01/01/2020;;;1;1;0;2;5;133;0;;;03/01/2026;4;1;849,63;;0;0;8130;Erro desconhecido;N/A
;1034;1;03/05/2025;3;;2042;10;01/11/2023;;;1;1;0;2;5;133;0;;;;127;0;0,01;;0;0;8130;Erro desconhecido;N/A
;3301;1;30/05/2025;30;;;34;30/01/2022;;;1;1;0;2;5;133;0;;;03/01/2026;95;4;15,99;;0;0;9869;Erro desconhecido;N/A
;3301;1;30/05/2025;30;;;34;30/01/2022;;;1;1;0;2;5;133;0;;;;117;4;0,01;;0;0;9869;Erro desconhecido;N/A
;3301;1;30/05/2025;30;;;34;30/01/2022;;;1;1;0;2;5;133;0;;;03/01/2026;4;2;127,91;;0;0;9869;Erro desconhecido;N/A
;3301;1;30/05/2025;30;;;34;30/09/2022;;;1;1;0;2;5;133;0;;;03/09/2025;31;1;229,08;;0;0;9869;Erro desconhecido;N/A
;3301;1;30/05/2025;30;;;34;18/01/2024;;;1;1;0;2;5;133;0;;;;126;0;0,01;;0;0;9869;Erro desconhecido;N/A
;3301;1;30/05/2025;30;;;34;18/01/2024;;;1;1;0;2;5;133;0;;;;127;4;0,01;;0;0;9869;Erro desconhecido;N/A
;4510;1;05/05/2025;5;;;17;05/11/2023;;;1;1;0;2;5;133;0;;;04/11/2025;4;3;99,04;;0;0;11508;Erro desconhecido;N/A
;4510;1;05/05/2025;5;;;17;05/11/2023;;;1;1;0;2;5;133;0;;;04/11/2025;120;1;63,67;;0;0;11508;Erro desconhecido;N/A
;4510;1;05/05/2025;5;;;17;05/11/2023;;;1;1;0;2;5;133;0;;;04/11/2025;95;7;21,22;;0;0;11508;Erro desconhecido;N/A
;4510;1;05/05/2025;5;;;17;05/11/2023;;;1;1;0;2;5;133;0;;;;117;7;0,01;;0;0;11508;Erro desconhecido;N/A
;4510;1;05/05/2025;5;;;17;05/11/2023;;;1;1;0;2;5;133;0;;;04/11/2025;31;1;212,24;;0;0;11508;Erro desconhecido;N/A
;4510;1;05/05/2025;5;;;17;05/12/2023;;;1;1;0;2;5;133;0;;;;4;0;0,01;;0;0;11508;Erro desconhecido;N/A
;5437;1;10/05/2025;10;;;90;10/07/2025;;;1;1;0;2;5;133;0;;;;4;9;38,89;;0;0;12366;A data do primeiro vencimento não pode ser menor que a data de vigência inicial!;N/A
;5437;1;10/05/2025;10;;;90;10/07/2025;;;1;1;0;2;5;133;0;;;;95;7;14,29;;0;0;12366;A data do primeiro vencimento não pode ser menor que a data de vigência inicial!;N/A
;5437;1;10/05/2025;10;;;90;10/07/2025;;;1;1;0;2;5;133;0;;;;118;1;50;;0;0;12366;A data do primeiro vencimento não pode ser menor que a data de vigência inicial!;N/A
;5437;1;10/05/2025;10;;;90;10/07/2025;;;1;1;0;2;5;133;0;;;;123;1;0,01;;0;0;12366;A data do primeiro vencimento não pode ser menor que a data de vigência inicial!;N/A
;5437;1;10/05/2025;10;;;90;10/07/2025;;;1;1;0;2;5;133;0;;;;4;1;0,01;;0;0;12366;A data do primeiro vencimento não pode ser menor que a data de vigência inicial!;N/A
;5437;1;10/05/2025;10;;;90;10/07/2025;;;1;1;0;2;5;133;0;;;;18;1;0,01;;0;0;12366;A data do primeiro vencimento não pode ser menor que a data de vigência inicial!;N/A
;402;1;15/05/2025;15;;613;29;01/10/2025;16.10.yyyy;;1;1;0;2;5;133;0;;;;4;1;1520,17;;0;0;6468;A data do primeiro vencimento não pode ser menor que a data de vigência inicial!;N/A
;647;1;20/05/2025;20;;910;21;01/01/2026;;;1;1;0;2;5;;0;;;02/07/2025;4;1;4288,85;;0;0;7911;A data do primeiro vencimento não pode ser menor que a data de vigência inicial!;N/A
;2394;1;30/05/2025;30;;;17;01/03/2026;31.03.yyyy;;1;1;0;2;5;133;0;;;04/11/2025;4;1;2663,45;;0;0;8717;A data do primeiro vencimento não pode ser menor que a data de vigência inicial!;N/A
